
2024/12/29 (13:46:55) | ===> btop++ v.1.4.0
2024/12/29 (13:46:55) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/29 (13:53:36) | ===> btop++ v.1.4.0
2024/12/29 (13:53:36) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/29 (14:04:37) | ===> btop++ v.1.4.0
2024/12/29 (14:04:37) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/29 (14:10:04) | ===> btop++ v.1.4.0
2024/12/29 (14:10:04) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/29 (14:30:45) | ===> btop++ v.1.4.0
2024/12/29 (14:30:45) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/29 (14:31:00) | ===> btop++ v.1.4.0
2024/12/29 (14:31:00) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/29 (14:53:50) | ===> btop++ v.1.4.0
2024/12/29 (14:53:50) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/29 (15:19:15) | ===> btop++ v.1.4.0
2024/12/29 (15:19:15) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/29 (17:31:30) | ===> btop++ v.1.4.0
2024/12/29 (17:31:30) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/29 (20:54:25) | ===> btop++ v.1.4.0
2024/12/29 (20:54:25) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/29 (20:54:56) | ===> btop++ v.1.4.0
2024/12/29 (20:54:56) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/29 (20:57:52) | ===> btop++ v.1.4.0
2024/12/29 (20:57:52) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/31 (12:10:51) | ===> btop++ v.1.4.0
2024/12/31 (12:10:51) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/06 (19:25:12) | ===> btop++ v.1.4.0
2025/01/06 (19:25:12) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/08 (19:26:02) | ===> btop++ v.1.4.0
2025/01/08 (19:26:02) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/10 (11:06:34) | ===> btop++ v.1.4.0
2025/01/10 (11:06:34) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/10 (11:07:25) | ===> btop++ v.1.4.0
2025/01/10 (11:07:25) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/10 (11:12:25) | ===> btop++ v.1.4.0
